Goal,Topic,count
Say goodbye,Say goodbye,17806
Greetings,Greetings,10666
Ask about user's hobbies,Ask about user's hobbies,5006
Ask about weather,Ask about weather,4392
Ask about user's gender,Ask about user's gender,2860
Ask about user's name,Ask about user's name,2850
Ask about user's age,Ask about user's age,2850
Weather notification,Weather notification,2435
Ask about date,Ask about date,2401
Ask about time,Ask about time,2107
Ask questions,Ask questions,2100
Chat about stars,Leslie Cheung,1418
Chat about stars,Jacky Cheung,1410
Chat about stars,Jay Chou,1250
Chat about stars,Jiong He,1188
Chat about stars,Leehom Wang,1074
Chat about stars,Kris Wu,1000
Chat about stars,Xun Zhou,842
Chat about stars,Xiaoming Huang,810
Food recommendation,Marinated Fish,797
Chat about stars,Cecilia Cheung,708
Chat about stars,Na Xie,700
Chat about stars,Bo Huang,692
Chat about stars,Mi Yang,688
Chat about stars,Bingbing Fan,652
Chat about stars,Nicholas Tse,646
Chat about stars,Jimmy Lin,602
Chat about stars,Aaron Kwok,556
Chat about stars,Andy Lau,552
Chat about stars,Jackie Chan,530
Chat about stars,Ruby Lin,482
Chat about stars,Hsu Chi,480
Q&A,Q&A,333
Q&A,Jacky Cheung,269
Food recommendation,Boiled Fish with Pickled Cabbage and Chili ,260
Movie recommendation,Mr. Six,253
Food recommendation,poached spicy slices of pork,252
Movie recommendation,Left Right Love Destiny,243
Movie recommendation,To Me the Way,229
Q&A,Jay Chou,228
POI recommendation,Wanzhou Roasted Fish,225
Movie recommendation,The Secret Life of Pets,225
Movie recommendation,Happy Running,223
Movie recommendation,Perhaps Love,220
Music recommendation,Chinese Soul,218
Food recommendation,Duck Blooding Chili Sauce ,213
Music recommendation,Rain,212
Food recommendation,Sliced Fish in Hot Chili Oil,208
Music recommendation,Run,208
Q&A,Kris Wu,207
Movie recommendation,Kung Fu Panda 3,205
Music recommendation,Floral Sea,204
Music recommendation,A Life Of Fighting Is But A Dream,200
Play music,Run,199
Music recommendation,All the Things You Never Knew,195
Movie recommendation,"Tiles of Deception, Lurid Affections: The Making of 'Lust, Caution'",195
Music recommendation,Orchid Pavillion,194
Play music,Chinese Soul,193
