Goal,Topic,count
Say goodbye,Say goodbye,12240
Greetings,Greetings,7104
Ask about user's hobbies,Ask about user's hobbies,3543
Ask about weather,Ask about weather,3090
Ask about user's gender,Ask about user's gender,2018
Ask about user's name,Ask about user's name,2012
Ask about user's age,Ask about user's age,2010
Weather notification,Weather notification,1713
Ask about date,Ask about date,1709
Ask about time,Ask about time,1481
Ask questions,Ask questions,1432
Chat about stars,Leslie Cheung,946
Chat about stars,Jacky Cheung,940
Chat about stars,Jay Chou,824
Chat about stars,Jiong He,800
Chat about stars,Leehom Wang,710
Chat about stars,Kris Wu,668
Chat about stars,Xun Zhou,570
Food recommendation,Marinated Fish,532
Chat about stars,Bo Huang,508
Chat about stars,Xiaoming Huang,506
Chat about stars,Na Xie,500
Chat about stars,Mi Yang,470
Chat about stars,Bingbing Fan,432
Chat about stars,Jimmy Lin,422
Chat about stars,Cecilia Cheung,420
Chat about stars,Nicholas Tse,420
Chat about stars,Aaron Kwok,384
Chat about stars,Andy Lau,370
Chat about stars,Jackie Chan,370
Chat about stars,Ruby Lin,358
Chat about stars,Hsu Chi,288
Q&A,Q&A,192
Q&A,Jacky Cheung,179
Food recommendation,poached spicy slices of pork,177
Food recommendation,Boiled Fish with Pickled Cabbage and Chili ,170
Music recommendation,Floral Sea,168
Movie recommendation,Perhaps Love,165
Movie recommendation,The Secret Life of Pets,162
Food recommendation,Duck Blooding Chili Sauce ,161
Play music,Floral Sea,158
Movie recommendation,Mr. Six,157
Music recommendation,Orchid Pavillion,154
Q&A,Jay Chou,153
Movie recommendation,"Tiles of Deception, Lurid Affections: The Making of 'Lust, Caution'",152
Music recommendation,A Life Of Fighting Is But A Dream,148
Music recommendation,Chinese Soul,146
Music recommendation,Rain,144
Music recommendation,Run,140
POI recommendation,Wanzhou Roasted Fish,139
Movie recommendation,Left Right Love Destiny,139
Play music,Run,139
Play music,Orchid Pavillion,136
Movie recommendation,To Me the Way,136
Movie recommendation,Happy Running,135
Play music,Rain,134
Music recommendation,There Is a Place,134
Music recommendation,Dad Where Are We Going?,134
Movie recommendation,Kung Fu Panda 3,131
Music recommendation,All the Things You Never Knew,129
Play music,There's a place,128
Food recommendation,Spicy Crawfish,126
Play music,Chinese Soul,125
Play music,There Is a Place,124
Movie recommendation,Time and Tide,124
Music recommendation,You're Not Here,124
